model,display_freq,battery,price,ram,size,camera_res
Nokia Model 92,119,3390,28937,7,5.75,30.8
Huawei Model 93,85,3586,38825,4,6.36,87.5
Oppo Model 94,60,3018,8314,6,6.01,24.8
Oppo Model 95,101,5509,12239,13,7.18,104.7
OnePlus Model 96,129,5764,31261,11,4.72,81.8
Google Model 97,104,5026,20131,10,6.14,55.5
Apple Model 98,106,4916,7656,3,4.6,25.8
Realme Model 99,95,4999,15969,5,6.17,71.4
Realme Model 100,115,3420,28256,8,5.51,66.7
Oppo Model 101,99,5710,10796,10,5.75,23.9
Motorola Model 102,120,4554,20280,5,6.54,27.2
OnePlus Model 103,90,4690,23986,15,4.55,85.9
OnePlus Model 104,75,3467,16203,7,7.12,22.8
Asus Model 105,129,3711,38031,8,5.93,76.0
Xiaomi Model 106,89,4850,21410,15,6.11,12.2
Nokia Model 107,143,5723,36147,15,5.46,50.4
Samsung Model 108,103,4842,21518,10,5.48,18.8
OnePlus Model 109,84,3869,21047,7,6.44,102.6
Motorola Model 110,72,4002,15688,5,7.13,79.7
Nokia Model 111,93,5616,35677,5,6.57,46.0
Oppo Model 112,116,5889,26667,13,6.92,8.3
Xiaomi Model 113,85,4710,18000,12,4.63,71.3
Sony Model 114,128,3310,22884,3,7.01,80.4
Motorola Model 115,61,4110,5254,14,6.08,14.0
Xiaomi Model 116,66,4678,3349,8,6.07,94.4
Motorola Model 117,111,5519,6994,8,4.87,16.2
Huawei Model 118,124,5820,8728,10,4.66,66.0
Google Model 119,120,3875,9614,4,5.18,32.9
Motorola Model 120,89,5116,33206,10,6.19,42.4
Motorola Model 121,95,4675,10578,15,6.57,64.6
Apple Model 122,75,5282,11609,8,6.14,41.9
Oppo Model 123,79,4858,12654,15,6.73,44.7
Asus Model 124,86,4740,25185,7,5.12,74.3
Oppo Model 125,100,3948,9545,4,6.01,37.4
Sony Model 126,141,4675,30561,12,6.87,65.0
Motorola Model 127,97,5818,28838,3,5.63,75.9
Nokia Model 128,118,3757,15510,5,6.65,96.0
Apple Model 129,136,4381,21802,8,7.16,96.5
Oppo Model 130,88,3621,16508,11,5.78,30.5
Oppo Model 131,60,4750,39058,10,6.08,96.9
Apple Model 132,79,3977,24511,16,5.05,59.8
Apple Model 133,104,5105,17551,4,4.78,73.5
Realme Model 134,142,4370,7721,4,7.04,65.0
Sony Model 135,96,5792,21649,3,5.26,65.5
Huawei Model 136,72,3383,29660,15,6.85,65.3
Motorola Model 137,108,3622,3441,5,4.55,61.7
Sony Model 138,118,3038,12889,6,6.53,27.6
OnePlus Model 139,110,5644,27993,6,6.99,24.9
Samsung Model 140,64,5592,27921,8,5.29,20.5
OnePlus Model 141,88,3459,6525,5,4.58,44.3
Samsung Model 142,68,4209,13188,4,4.58,22.8
Apple Model 143,68,3143,5286,9,4.53,77.8
Huawei Model 144,67,4939,10228,7,6.63,49.4
Nokia Model 145,142,5853,12748,10,5.0,97.8
Realme Model 146,88,5808,18390,4,6.99,61.4
Sony Model 147,136,3643,27228,14,6.32,50.0
Xiaomi Model 148,71,4599,16895,6,4.64,24.6
Sony Model 149,119,5556,38192,12,5.07,26.8
Sony Model 150,127,5488,30370,5,6.52,11.9
Samsung Model 151,133,4930,17773,11,5.88,74.3
Oppo Model 152,138,3773,23973,4,5.09,92.9
Huawei Model 153,77,4962,16958,12,6.13,57.2
Xiaomi Model 154,127,5363,21490,14,4.86,32.3
Sony Model 155,123,5980,33549,16,6.33,77.8
Google Model 156,80,4966,23147,4,6.21,16.2
Huawei Model 157,83,4624,35750,12,6.15,97.5
Motorola Model 158,91,5176,5286,9,7.14,100.2
Xiaomi Model 159,61,3361,30619,8,5.43,99.9
Xiaomi Model 160,116,5323,7066,3,7.14,80.0
Asus Model 161,134,5347,13171,13,5.79,11.3
Motorola Model 162,130,3661,23453,5,5.82,25.8
Sony Model 163,80,5984,30196,9,6.67,85.8
Sony Model 164,71,4465,5360,15,7.12,78.1
Oppo Model 165,81,4439,6320,16,5.78,30.4
Asus Model 166,67,4298,21581,5,5.43,28.3
Realme Model 167,91,3715,38732,9,6.72,72.6
Asus Model 168,61,3704,17392,16,5.42,31.7
Apple Model 169,102,5038,25281,16,6.39,30.6
Oppo Model 170,108,5422,21449,6,4.81,17.6
Google Model 171,143,4715,14548,5,5.77,25.5
Google Model 172,117,4302,35976,12,5.24,64.9
Asus Model 173,113,4323,8461,16,6.06,76.1
Sony Model 174,98,4063,39350,11,6.36,57.8
Apple Model 175,87,3213,11940,13,6.36,8.2
Sony Model 176,116,3980,27704,8,6.76,100.9
Samsung Model 177,101,5762,9322,9,6.75,55.9
Nokia Model 178,77,3437,20914,7,6.76,51.1
Motorola Model 179,111,4831,20461,15,6.99,29.5
Huawei Model 180,142,3034,28086,7,4.66,58.0
Asus Model 181,134,3295,24420,8,4.98,84.7
Apple Model 182,82,5173,31826,12,5.18,76.0
Huawei Model 183,76,5295,35924,4,4.7,37.9
Realme Model 184,93,4366,32320,13,5.17,44.5
Google Model 185,129,5946,13665,16,6.48,73.0
Google Model 186,86,3001,31327,4,6.31,78.1
Nokia Model 187,125,4023,19702,3,5.03,74.2
Huawei Model 188,94,4349,33423,13,5.68,93.7
Motorola Model 189,94,5810,22032,6,6.96,48.1
Xiaomi Model 190,124,5585,16497,12,6.45,16.8
Asus Model 191,139,4897,10162,3,6.1,30.6
Google Model 192,88,3180,27748,14,6.9,24.3
Oppo Model 193,144,4246,23044,4,5.81,18.9
Samsung Model 194,88,5513,30630,12,6.71,43.2
Sony Model 195,88,5452,22979,6,5.45,41.1
Asus Model 196,106,3772,21075,8,7.12,72.7
Oppo Model 197,112,5282,26124,3,6.21,60.8
Realme Model 198,76,3621,23817,10,5.86,77.1
Realme Model 199,101,4602,8543,13,6.79,33.0
Oppo Model 200,141,3585,22590,12,5.24,34.4
Realme Model 201,84,3589,14195,16,6.62,36.2
Asus Model 202,123,4689,19559,8,5.45,106.5
Google Model 203,127,3266,6848,8,6.76,22.3
Nokia Model 204,117,3136,30029,15,6.9,11.7
OnePlus Model 205,108,3745,35645,12,5.78,38.5
Asus Model 206,114,3890,36690,6,5.55,58.6
Motorola Model 207,136,4675,8100,12,4.53,81.7
Huawei Model 208,66,5777,32397,7,5.9,54.9
Oppo Model 209,133,5662,17397,10,6.69,101.2
Oppo Model 210,80,4961,6162,11,6.29,99.2
Sony Model 211,71,4211,39449,12,6.97,45.6
Nokia Model 212,63,5537,37983,9,6.84,87.7
Huawei Model 213,137,4623,26414,15,7.17,38.4
OnePlus Model 214,142,5401,36758,12,6.81,90.8
OnePlus Model 215,88,4218,32855,16,6.7,53.3
Asus Model 216,87,5280,30462,6,5.09,32.3
Huawei Model 217,92,3066,36929,12,6.12,12.6
Motorola Model 218,61,3803,20367,9,6.76,35.0
Oppo Model 219,105,3919,20422,9,6.28,67.6
Huawei Model 220,92,4408,15631,10,6.39,74.7
Asus Model 221,129,5695,11099,8,7.05,19.7
Google Model 222,107,3886,14843,9,6.28,97.8
OnePlus Model 223,111,4024,37343,12,4.65,65.5
Apple Model 224,73,3460,13488,13,4.97,34.4
Google Model 225,139,4864,38206,9,4.97,104.0
Xiaomi Model 226,117,4220,32350,12,5.35,58.8
Google Model 227,72,4508,4000,7,4.57,79.2
Sony Model 228,125,5259,9110,10,4.69,17.3
Xiaomi Model 229,114,5256,7723,12,5.08,87.9
Samsung Model 230,137,4749,33019,9,4.72,65.7
Motorola Model 231,64,4499,33223,10,5.41,96.8
OnePlus Model 232,142,4834,14055,13,5.08,47.6
Nokia Model 233,98,5696,8621,10,6.45,73.9
Motorola Model 234,126,3020,27417,3,4.97,66.6
Oppo Model 235,70,4109,28198,9,6.72,16.4
Oppo Model 236,64,4379,26209,3,4.5,99.5
Huawei Model 237,97,4179,31715,5,5.37,106.3
Xiaomi Model 238,100,5692,24281,13,6.46,31.3
OnePlus Model 239,138,4564,17057,11,6.54,22.1
Samsung Model 240,86,5302,12767,3,6.0,107.5
Google Model 241,70,5604,4300,6,4.61,36.1
Sony Model 242,123,3560,15479,16,6.73,39.9
Google Model 243,140,3677,4540,7,6.41,78.3
Sony Model 244,104,5834,6575,6,6.4,16.4
Sony Model 245,106,4600,12857,12,6.7,68.6
Nokia Model 246,60,4331,39120,3,6.94,66.8
Google Model 247,66,5761,32573,3,7.1,78.0
OnePlus Model 248,70,4211,27303,3,6.12,91.1
Realme Model 249,77,3912,23302,14,6.37,35.9
OnePlus Model 250,131,5419,15685,6,5.99,32.1
Samsung Model 251,99,5817,17676,5,6.77,53.3
Google Model 252,75,5095,29058,4,6.62,42.1
Huawei Model 253,102,5673,22564,16,4.97,61.1
Sony Model 254,85,4041,27284,6,5.88,12.5
Oppo Model 255,132,5307,17992,3,5.7,96.6
Xiaomi Model 256,76,3854,31255,3,6.29,91.2
Nokia Model 257,142,5095,6734,16,6.11,77.6
Nokia Model 258,104,4485,15619,5,6.87,23.7
Apple Model 259,65,4184,13372,9,5.21,100.6
Realme Model 260,119,4938,25826,7,7.1,101.4
OnePlus Model 261,102,3141,21370,9,6.51,91.4
Asus Model 262,113,3061,32964,7,4.83,59.7
Apple Model 263,89,5741,5616,9,5.45,17.9
Samsung Model 264,92,4950,20358,3,5.24,65.7
Motorola Model 265,99,4527,26019,9,6.84,42.4
Sony Model 266,140,3991,11337,13,6.77,98.6
Xiaomi Model 267,119,3777,37291,11,4.85,35.7
Samsung Model 268,104,4480,9890,15,4.94,31.5
Asus Model 269,114,5011,36755,5,5.79,72.7
Realme Model 270,95,4203,38294,6,4.55,55.2
Realme Model 271,109,5588,11442,8,6.81,73.2
Realme Model 272,129,5161,21739,13,6.64,41.0
OnePlus Model 273,73,4680,16318,14,6.55,69.0
Nokia Model 274,114,5536,24747,13,6.01,52.2
Asus Model 275,134,3592,9286,4,6.75,43.1
Oppo Model 276,120,4500,6717,8,4.59,40.1
Xiaomi Model 277,122,5607,32956,5,7.06,45.7
Google Model 278,109,5064,13604,5,7.05,8.1
OnePlus Model 279,128,5477,17321,15,5.0,77.7
Realme Model 280,137,5423,32839,6,7.18,8.3
Motorola Model 281,133,3549,7310,6,6.63,92.2
Realme Model 282,140,3033,13628,8,6.06,48.4
Apple Model 283,87,4420,36666,12,5.6,15.9
Asus Model 284,140,3263,4480,12,4.79,73.9
Huawei Model 285,84,3861,37978,11,6.0,26.8
Nokia Model 286,69,5326,38882,13,4.76,55.2
Apple Model 287,110,5816,29669,8,4.71,15.4
Samsung Model 288,142,5545,10931,5,7.16,107.9
Samsung Model 289,116,5035,4011,12,5.45,36.6
Nokia Model 290,107,5748,10222,4,5.61,97.4
Google Model 291,138,3898,11359,3,5.97,56.3
OnePlus Model 292,84,3581,34927,8,5.5,48.1
Sony Model 293,113,5426,39707,7,5.97,84.4
OnePlus Model 294,112,4910,5629,15,7.12,40.9
Huawei Model 295,90,4763,26364,4,4.57,104.6
Nokia Model 296,122,4067,36024,4,4.65,64.4
OnePlus Model 297,137,3469,30162,14,6.19,105.9
Motorola Model 298,77,5326,32126,15,5.59,17.6
Apple Model 299,121,5084,7001,13,6.76,38.1
Realme Model 300,119,3825,23201,3,5.57,72.1
Xiaomi Model 301,62,3321,25544,8,5.36,28.6
OnePlus Model 302,113,5083,18911,10,5.67,37.2
Huawei Model 303,63,3783,13763,10,4.65,77.5
Samsung Model 304,116,4230,38990,10,5.93,94.8
Motorola Model 305,110,3832,4316,3,4.62,78.8
Sony Model 306,75,5672,37826,7,5.77,29.8
OnePlus Model 307,126,3843,18091,5,6.41,58.0
OnePlus Model 308,94,5666,17231,3,4.93,13.6
OnePlus Model 309,121,3790,30961,15,4.9,76.5
Realme Model 310,137,4770,28675,12,6.56,68.5
Samsung Model 311,113,3863,12918,16,7.17,15.0
Asus Model 312,80,5257,15496,5,6.88,70.0
Asus Model 313,144,5468,17338,8,7.13,85.5
Motorola Model 314,123,3384,22121,5,5.32,71.8
Huawei Model 315,130,5802,5991,8,5.38,55.1
Oppo Model 316,140,5484,29496,5,4.5,53.9
Apple Model 317,140,5172,38767,14,7.14,54.1
Google Model 318,104,3920,30067,6,4.93,22.8
OnePlus Model 319,71,3152,36869,15,6.35,58.7
Google Model 320,95,3343,25643,10,7.17,103.2
Oppo Model 321,96,5446,38017,5,5.65,91.6
Samsung Model 322,62,5913,36302,5,6.89,99.4
Realme Model 323,123,4236,34022,8,6.26,33.6
Apple Model 324,119,3245,28300,13,6.3,46.8
OnePlus Model 325,119,5808,5483,5,5.59,69.8
Motorola Model 326,73,3738,13573,4,6.29,88.9
Samsung Model 327,100,5025,12787,3,5.61,97.4
Realme Model 328,140,4625,18205,8,5.3,94.1
Oppo Model 329,143,5261,36376,9,4.81,22.8
OnePlus Model 330,74,4345,3759,16,5.65,65.8
Huawei Model 331,111,5756,32340,12,7.14,105.1
Apple Model 332,86,3830,34409,16,6.28,35.2
Xiaomi Model 333,84,4179,28269,11,4.87,24.1
Xiaomi Model 334,103,5182,31475,5,5.16,55.0
Realme Model 335,102,4786,20033,16,5.47,69.2
Nokia Model 336,70,5344,8794,6,4.82,94.5
Google Model 337,83,3994,35353,6,5.12,58.0
Apple Model 338,96,5406,10147,13,6.62,91.1
Motorola Model 339,140,4922,5527,6,5.69,9.0
Huawei Model 340,70,5319,27725,9,5.73,20.3
Huawei Model 341,121,3208,7094,16,5.61,107.4
Motorola Model 342,78,4994,12028,15,5.35,84.6
Motorola Model 343,119,4022,24237,15,6.77,14.0
Sony Model 344,88,3897,38053,12,4.64,98.6
Nokia Model 345,74,3086,24563,10,4.77,76.0
Google Model 346,102,5468,3945,8,5.95,33.8
Samsung Model 347,70,5300,17174,10,4.61,59.4
Xiaomi Model 348,92,5032,9752,4,5.92,10.5
Apple Model 349,87,4392,23845,10,6.68,34.7
Oppo Model 350,84,4942,36754,10,6.35,17.3
Realme Model 351,64,3028,30305,14,5.89,41.1
Sony Model 352,136,3568,4516,5,5.38,101.7
Samsung Model 353,102,5669,21739,3,4.87,65.6
Huawei Model 354,60,5656,33064,6,4.74,84.7
Huawei Model 355,108,4294,23988,8,5.79,38.1
Apple Model 356,89,4108,33398,6,5.04,33.5
Realme Model 357,123,3837,30738,7,5.91,26.5
Asus Model 358,143,5473,19127,8,5.53,67.3
Nokia Model 359,108,3649,26487,7,6.45,69.5
Nokia Model 360,65,3731,35215,14,5.4,20.2
Sony Model 361,124,3512,36161,11,5.53,12.1
Nokia Model 362,134,3087,21172,5,6.9,34.0
Google Model 363,133,5183,18434,11,4.56,48.8
Nokia Model 364,67,3489,19648,14,6.0,77.9
Google Model 365,107,5835,39816,5,5.26,48.7
Nokia Model 366,138,4399,28405,14,5.52,77.3
Motorola Model 367,79,4162,24430,11,4.96,48.7
Xiaomi Model 368,71,5096,14467,12,6.79,53.0
Motorola Model 369,81,3005,22674,9,5.6,85.3
Sony Model 370,83,4592,16359,5,6.26,90.0
Oppo Model 371,82,5107,27656,5,6.87,24.4
Google Model 372,109,3729,36645,6,5.71,36.5
Sony Model 373,94,3517,37130,13,4.8,90.4
OnePlus Model 374,72,4861,13041,12,4.99,78.8
Sony Model 375,68,5774,32703,16,5.2,53.0
Oppo Model 376,134,3609,8843,11,5.61,82.6
Apple Model 377,137,3129,23206,14,6.92,65.3
Realme Model 378,92,5419,21986,11,7.06,77.9
Sony Model 379,70,4132,33861,8,5.62,14.7
Oppo Model 380,113,4166,30368,16,5.48,18.4
Asus Model 381,122,4344,18672,4,6.3,41.4
Realme Model 382,73,4644,22828,10,7.16,76.4
Xiaomi Model 383,124,4812,30728,6,4.71,101.2
Xiaomi Model 384,69,5815,19642,10,6.48,45.0
Apple Model 385,97,4387,38975,3,4.88,92.2
Huawei Model 386,129,3275,10530,14,6.01,22.2
Google Model 387,96,4453,24483,12,5.69,38.8
Apple Model 388,82,4324,23738,8,5.28,24.4
Huawei Model 389,131,3717,37572,3,6.62,39.6
Apple Model 390,67,5788,19185,7,5.16,77.9
Oppo Model 391,64,5871,21104,6,4.97,17.2
Google Model 392,72,3631,17922,10,6.77,65.0
Sony Model 393,95,5203,8126,14,4.66,39.6
OnePlus Model 394,69,3176,38325,4,5.63,22.2
Oppo Model 395,88,4165,19919,3,5.14,78.2
Apple Model 396,118,5723,34904,11,5.84,96.3
Sony Model 397,107,4414,22942,16,7.13,55.8
Google Model 398,124,3646,11840,6,5.12,90.3
Huawei Model 399,137,3122,35214,7,5.33,63.5
Oppo Model 400,100,5712,23742,16,6.17,104.3
Motorola Model 401,80,3376,20555,6,6.98,90.5
Xiaomi Model 402,134,5487,28831,10,6.14,18.0
Asus Model 403,61,5840,5850,12,5.71,92.5
Google Model 404,120,3521,12213,8,5.97,78.9
Apple Model 405,96,5156,35085,12,4.8,39.4
OnePlus Model 406,66,3243,27182,11,5.43,88.3
Google Model 407,128,4865,35029,5,6.4,74.1
Apple Model 408,98,4452,26438,11,6.21,52.0
OnePlus Model 409,130,4766,9923,11,4.62,99.7
Xiaomi Model 410,72,4086,20833,14,4.85,81.8
Motorola Model 411,71,4121,14350,8,6.99,8.5
Nokia Model 412,94,5103,26624,6,7.11,50.3
Huawei Model 413,75,4382,17511,5,5.53,75.5
Apple Model 414,91,5207,28598,6,5.27,65.6
Google Model 415,121,4918,28917,6,5.24,41.0
Xiaomi Model 416,117,5977,35118,11,5.53,71.2
Motorola Model 417,82,3426,16349,12,5.28,29.6
Motorola Model 418,81,5336,23004,16,5.24,31.2
Oppo Model 419,115,5996,9370,5,6.84,12.5
Motorola Model 420,123,4127,6842,15,6.95,65.0
Samsung Model 421,76,5157,19927,6,7.07,37.5
Asus Model 422,93,4046,30914,11,5.44,42.7
Realme Model 423,110,3094,3346,6,6.01,25.0
Apple Model 424,119,3569,30732,13,6.01,84.2
Oppo Model 425,111,5207,12859,5,6.98,37.3
Xiaomi Model 426,78,4430,25424,5,6.68,49.0
Samsung Model 427,69,3380,11052,15,7.07,46.5
Samsung Model 428,122,3287,29131,13,7.16,83.2
Samsung Model 429,106,5299,3177,11,6.58,8.5
Samsung Model 430,110,3253,5739,9,6.11,19.1
Nokia Model 431,77,3406,27510,10,6.98,92.1
Oppo Model 432,76,5576,6687,14,6.41,76.0
Huawei Model 433,110,3732,17305,9,5.92,78.2
Xiaomi Model 434,134,3706,37205,12,6.9,102.5
Google Model 435,85,4056,37140,4,7.09,53.9
Xiaomi Model 436,113,5547,14157,8,5.3,12.7
Asus Model 437,70,3886,27276,16,7.0,76.8
Apple Model 438,112,3627,16864,6,5.63,9.9
OnePlus Model 439,118,3207,4059,12,5.96,104.5
Oppo Model 440,86,4260,35557,6,6.81,48.5
Nokia Model 441,64,4149,30513,7,6.75,16.6
Motorola Model 442,129,4549,17126,11,7.18,93.3
Oppo Model 443,129,3564,32855,8,6.71,57.6
Huawei Model 444,115,5169,34595,14,5.31,44.9
Asus Model 445,82,3697,13180,11,6.56,36.5
Sony Model 446,62,3776,32440,13,5.5,96.2
Xiaomi Model 447,85,3348,20411,9,5.78,14.5
Oppo Model 448,90,4708,24734,12,5.65,34.5
Google Model 449,62,5248,32506,8,5.96,102.1
Asus Model 450,111,5983,3194,9,6.02,76.4
Asus Model 451,139,5905,9684,4,6.58,69.4
OnePlus Model 452,110,4055,35246,10,6.87,88.3
Samsung Model 453,115,5845,39375,6,6.2,28.4
Apple Model 454,129,5923,5370,12,5.82,27.1
Huawei Model 455,141,5861,28741,6,5.07,97.4
OnePlus Model 456,124,5852,20890,12,6.92,98.7
Huawei Model 457,61,5360,7289,5,4.7,100.6
Sony Model 458,90,3493,17295,9,5.16,90.0
Nokia Model 459,140,3763,3420,14,5.01,32.5
OnePlus Model 460,127,4519,33059,15,7.08,80.8
Xiaomi Model 461,70,5045,38883,10,5.05,101.4
Huawei Model 462,61,5618,15323,7,6.51,27.6
Motorola Model 463,139,4082,24819,8,5.12,24.0
OnePlus Model 464,67,5577,13224,9,7.13,30.7
Nokia Model 465,61,5972,28327,5,6.4,38.5
Samsung Model 466,66,3830,23847,14,4.9,10.5
Asus Model 467,77,4812,35448,12,5.0,21.6
Realme Model 468,100,3946,31052,5,4.57,59.8
Nokia Model 469,80,5039,24087,6,6.93,68.4
Huawei Model 470,118,4748,37479,10,5.04,99.6
Xiaomi Model 471,113,5965,9637,16,5.57,64.7
Motorola Model 472,101,5855,33206,8,5.16,102.0
Motorola Model 473,84,3916,20863,12,4.78,90.8
Huawei Model 474,85,3625,32547,12,6.39,16.6
Realme Model 475,134,3845,13086,13,4.91,85.0
Motorola Model 476,121,5574,10428,7,4.55,62.9
Asus Model 477,63,3253,36155,3,4.82,9.4
Asus Model 478,138,5903,31281,5,6.64,79.2
Huawei Model 479,62,4979,6850,7,4.87,79.0
Asus Model 480,139,5600,36437,14,7.16,34.3
Motorola Model 481,87,4904,35709,8,4.55,14.4
OnePlus Model 482,68,5331,21673,10,5.72,16.9
Xiaomi Model 483,134,4894,5197,9,5.13,80.4
Sony Model 484,77,4944,22388,4,6.32,55.1
OnePlus Model 485,70,5996,37016,4,7.05,26.9
Asus Model 486,96,5308,10836,13,4.5,22.1
Google Model 487,107,3972,29113,6,5.14,43.3
Samsung Model 488,105,3914,9422,6,6.28,46.0
Oppo Model 489,112,3024,20978,12,4.52,92.3
Apple Model 490,91,3279,19929,4,6.27,18.0
Apple Model 491,88,5267,30765,16,7.02,41.3
Realme Model 492,82,3457,22518,13,6.6,50.7
Oppo Model 493,83,5081,12061,6,5.49,76.5
Apple Model 494,118,5854,7955,12,6.88,62.8
OnePlus Model 495,85,4923,24829,11,4.97,51.0
Realme Model 496,117,3500,35004,7,5.65,95.3
Sony Model 497,71,5494,32701,10,6.85,11.7
Google Model 498,82,5494,25588,15,5.9,49.9
Asus Model 499,99,4084,19061,11,6.1,61.0
Realme Model 500,84,4935,25759,9,5.17,99.6
Motorola Model 501,66,3674,12035,4,7.16,34.6
Realme Model 502,98,5048,20347,6,7.01,46.9
Huawei Model 503,104,3031,21734,3,4.99,101.7
Sony Model 504,63,4287,24887,9,4.99,41.2
Asus Model 505,106,5623,25444,3,6.32,63.2
Huawei Model 506,93,5153,38358,7,4.86,68.1
Oppo Model 507,108,3925,27044,13,6.32,85.4
Sony Model 508,74,5094,27617,16,6.03,36.8
Realme Model 509,111,3813,10214,5,5.82,80.8
Google Model 510,63,3338,3042,14,5.19,50.9
Google Model 511,73,5645,25925,5,5.43,21.2
Samsung Model 512,138,3375,20767,5,5.44,94.7
Apple Model 513,92,4510,32954,13,6.96,85.4
Sony Model 514,100,4926,27866,14,5.86,30.8
Huawei Model 515,108,5027,13232,9,5.55,83.7
Xiaomi Model 516,103,3270,4106,3,7.19,76.8
Apple Model 517,103,3067,20814,10,5.51,85.2
Apple Model 518,70,3695,5573,16,6.48,29.0
Sony Model 519,115,4715,14365,10,6.94,54.0
Apple Model 520,88,3584,28162,11,5.84,71.8
Google Model 521,111,3297,38644,8,5.75,49.0
Realme Model 522,89,3907,19718,13,7.05,25.6
